Carleton SPP Potential Elective Courses,,
PADM5211,Intergovernmental Relations,Major cost-sharing and fiscal transfer agreements. The intergovernmental mechanisms for policy and administrative coordination in selected policy fields.
PADM5212,Civil Society and Public Policy,The influence of various interests social movements voluntary organizations and citizens in the policy process in a Canadian and comparative context.
PADM5213,Gender and Public Policy,The impact of public policy on gender relations and how gender relations shape policy. Topics covered may include gender inequalities in earnings and employment macroeconomic policy gender and development and gender-based analysis.
PADM5214,Budgetary Policy in the Public Sector,Selected aspects of the expenditure and revenue budget and budgetary process at all levels of government. Critical review of actual budgets and budgetary processes.
PADM5215,Benefit-Cost Analysis,Benefit-cost analysis and its application to public-sector investment pricing policy discount rates marginal cost and shadow pricing and the handling of risk and uncertainty.
PADM5216,Economic Models of Politics and Public Policy,Microfoundations of collective action majority rule political institutions and bureaucracy. Applications to various issues in Canadian and international public policy.
PADM5217,Applied Microeconomic Policy Analysis,Microeconomic theory applied to public policy problems and issues.
PADM5218,Analysis of Socio-economic Data,Correlation and regression analyses to test hypotheses about the relationships between socio-economic variables.
PADM5219,Advanced Statistical Policy Analysis,Econometric research on selected policy issues using selected econometric techniques.
PADM5220,Regulation and Public Policy,Political economic legal and organizational theories of regulation in the Canadian and comparative context. Processes and consequences of regulatory practice in selected Canadian public policy fields.
PADM5221,Health Policy in Canada,Canadian health policies and programs set in a comparative political-economic and institutional context.
PADM5222,Economics and Health Policy,This course applies microeconomic theory to a discussion of health policy. Focus on issues of particular interest to a student of Canadian health care policy.
PADM5223,Canadian Economic Policy,Overview of Canadian economic development and how it has been affected by governments. Topics may be drawn from monetary fiscal industrial trade labour market or competition policies viewed in contemporary and historical contexts.
PADM5224,Aboriginal Policy,Canadian policies and programs on aboriginal peoples and aboriginal peoples' own policies as nations set in a comparative political-economic and institutional context.
PADM5225,Trade Policy,Canadian multilateral and regional trade policies and programs set in a comparative political-economic and institutional context.
PADM5226,Tax Policy,Canadian tax policies set in a comparative political-economic and institutional context.
PADM5227,Education Policy,Canadian policies and programs on education set in a comparative political-economic and institutional context.
PADM5228,Social Policy,The nature and historical development of social programs in capitalist countries with particular focus on Canada. The course will concentrate on developing a critical understanding of the social forces shaping these programs.
PADM5229,The Health of Populations,Assessment of the medical model and perspectives on the social and economic determinants of health population health and community health. The health of particular groups in Canada (e.g. women Aboriginal peoples). International comparisons will be made.
PADM5272,Policy Seminar (Policy Analysis Concentration),One or more selected policy areas or specialized aspects of policy analysis. The policy field or topic will change each year.
PADM5291,Directed Studies (Policy Analysis Concentration),A tutorial or directed reading course on selected subjects related to policy analysis.
PADM5411,Organization Theory,Focusing on major theoretical approaches to organizations the course develops practical insights into issues such as organizational design leadership technology culture and diversity motivation and power. It applies these insights to organizations in both the public and private sectors in a variety of national contexts.
PADM5412,Ethics and Accountability in the Public Sector,Philosophy principles and values that have shaped Canada's framework of public sector ethics and accountability. The relationship between ethics accountability and good governance and the reforms designed to limit unethical behaviour and strengthen accountability.
PADM5413,Law of Public Authorities I,The legal environment of Canadian public administration Canadian law institutions and processes. Canadian legal history adversarial adjudicative procedures delegation of powers to public authorities procedural justice in government decision making and controls on public authorities and enforcement of ethics.
PADM5414,Law of Public Authorities II,Characteristics and selected problems of control of administrative action. Topics may include: varieties of constitutional legal and judicial control impact of the Charter reforms to administrative law control systems in Canada and comparisons with developments outside Canada.
PADM5415,Strategic Management in the Public Sector,Key concepts principles and tools of strategic management and their use in planning and policy implementation in the public sector. Reviews critical perspectives and cases in order to identify some of the limitations of strategic management.
PADM5416,Budgetary Management for the Public Sector,Theory and practice of budgeting in the public sector. From a management perspective the course focuses on the objectives methods and systems for the control and reporting of expenditures.
PADM5417,Principles of Finance,The use of financial assets to obtain funds evaluative criteria to compare alternative uses of funds and derivative contracts to manage risk. Public sector applications of these practices are emphasized.
PADM5418,Human Resources Management,The field of human resources management including the roles of human resource departments employee motivation staffing compensation benefits training and development and employee relations.
PADM5419,Industrial Relations and Public Sector Collective Bargaining,The basic concepts of industrial relations with respect to both public and private sector employees and organizations.
PADM5420,Policy and Program Evaluation,Policy and Program Evaluation
PADM5421,Globalizing Public Management,Public sector reform has swept the developed and developing world in the last two decades. The dynamics of this global movement the models exported and adopted and the success and failure of these exports.
PADM5422,Urban and Local Government,The role of municipal government in the context of Canadian federalism. Current economic political and social trends affecting Canada's major urban centres including growth amalgamation fiscal reform immigration housing community engagement and sustainable development.
PADM5423,Third Sector Governance and Management,Governance and management of voluntary/nonprofit organizations and their role in democracy public policy and service delivery.
PADM5424,Evaluation Cases and Applications,Selected case studies and emerging theories and issues in the development design management and implementation of policy and program evaluation.
